Publication_Day,Publication_Month,Publication_Year,DOI,Primary_Topic_Field,Primary_Topic_Subfield,Corresponding_Author_Country,First_Author_Country,Data_Section_Text_Generated,Data_Generated,Data_Shared,Data_Location,DA_data,Accessions,URL_data,Repositories_data,Data_DOIs,Preprint_Match,Preprint_DOI,Preprint_Day,Preprint_Month,Preprint_Year,Preprint_URL,Preprint_Server,Code_Section_Text_Generated,Code_Generated,Code_Shared,Code_Location,Protocol_Shared,n_protocols,Protocol_Location,Protocol_Source,Protocol_URL,has_common_authors,Registration_Shared,Registries,Registration_Number,Registration,Mention_Number,Registration_Section_Reported,Registration_Detected_As,Quarter,source,Discipiline,combined_id,author_position,is_corresponding,publication_year,funders,nserc_top_year_5yr,nserc_top_award_5yr,nserc_top_z_5yr,nserc_top_year_all,n_awards_nserc,nserc_top_award_all,nserc_top_z_all
4,5,2020,10.1371/journal.pone.0231894,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Canada,Canada,Fulltext,TRUE,FALSE,NA,All relevant data are within the paper and its Supporting Information files.,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,No,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,2020 Q2,PLOS,NA,williamnaud_gauthier_universitelaval,middle,FALSE,2020,,NA,NA,NA,NA,NA,NA,NA
11,7,2024,10.1371/journal.pclm.0000453,Environmental Science,Ecology,Canada,Canada,Method,TRUE,TRUE,"Online,Supplementary Information","All original data and code (R version 4.0.2, GNU Bash version 5.0.16(1) and CDO version 1.9.9rc1) have been deposited at 10.25405/data.ncl.22731194 (available before publication at https://figshare.com/s/faac387cb999778055cc to be completed). All datasets analysed are publicly available as of the date of publication. Any additional information required to reanalyse the data reported in this paper is available from the lead contact upon request.",NA,https://figshare.com/s/faac387cb999778055cc,figshare,10.25405/data.ncl.22731194,TRUE,10.1101/2023.06.16.545328,21,6,2023,http://biorxiv.org/lookup/doi/10.1101/2023.06.16.545328,bioRxiv,DA,TRUE,TRUE,Online,No,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,2024 Q3,PLOS,NA,elizabeth_beauchamp_newcastleuniversity,middle,TRUE,2024,,NA,NA,NA,NA,NA,NA,NA
30,6,2022,10.1371/journal.pone.0269158,Medicine,Obstetrics and Gynecology,Canada,Canada,Method,TRUE,FALSE,NA,"We are not able to share data to the public due to the Personal Health Information Protection Act in Ontario, Canada. The data analyzed during this study is held securely at the prescribed registry BORN Ontario. Data sharing regulations prevent this data from being made available publicly due to the personal health information in the datasets. Enquiries regarding BORN data must be directed to BORN Ontario (Science@BORNOntario.ca).",NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,Method,TRUE,FALSE,NA,No,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,2022 Q2,PLOS,NA,shi_wen_universityofottawa,middle,FALSE,2022,,NA,NA,NA,NA,NA,NA,NA
31,12,2020,10.1371/journal.pone.0244575,Medicine,Hepatology,Canada,Canada,Method,TRUE,FALSE,NA,All relevant data are within the paper.,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,Method,TRUE,FALSE,NA,No,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,2020 Q4,PLOS,NA,mawuena_binka_bccentrefordiseasecontrol,middle,FALSE,2020,,NA,NA,NA,NA,NA,NA,NA
5,6,2024,10.1371/journal.pone.0295098,Environmental Science,Global and Planetary Change,Canada,Canada,Method,TRUE,TRUE,"Online,Supplementary Information","All data files pertaining to Leach's Storm-Petrel strandings are available on the repository figshare (Code/Software is now available at: https://doi.org/10.6084/m9.figshare.25229471; data files are now available at: https://doi.org/10.6084/m9.figshare.25229414; read me file is now available at: https://doi.org/10.6084/m9.figshare.25229528), moon illumination data are available at Time and Date AS (https://www.timeanddate.com/), and wind speed and direction data are available at Environment and Climate Change Canada (https://climate.weather.gc.ca/climate_data/daily_data_e.html?hlyRange=1994-02-01%7C2023-11-01&dlyRange=2002-01-01%7C2023-11-01&mlyRange=2004-12-01%7C2004-12-01&StationID=10818&Prov=NL&urlExtension=_e.html&searchType=stnName&optLimit=yearRange&StartYear=2021&EndYear=2022&selRowPerPage=25&Line=0&searchMethod=contains&Month=11&Day=5&txtStationName=Grates+Cove&timeframe=2&Year=2021). The weather data underlying the results presented in the study are available from CustomWeather, Inc. (https://customweather.com/) (email: sales@customweather.com). These weather data are owned by CustomWeather, Inc and were used with permission from the company.",NA,"https://climate.weather.gc.ca/climate_data/daily_data_e.html?hlyRange=1994-02-01%7C2023-11-01&dlyRange=2002-01-01%7C2023-11-01&mlyRange=2004-12-01%7C2004-12-01&StationID=10818&Prov=NL&urlExtension=_e.html&searchType=stnName&optLimit=yearRange&StartYear=2021&EndYear=2022&selRowPerPage=25&Line=0&searchMethod=contains&Month=11&Day=5&txtStationName=Grates+Cove&timeframe=2&Year=2021, https://doi.org/10.6084/m9.figshare.25229528, https://doi.org/10.6084/m9.figshare.25229414, https://www.timeanddate.com/, https://doi.org/10.6084/m9.figshare.25229471, https://customweather.com/",figshare,"10.6084/m9.figshare.25229471, 10.6084/m9.figshare.25229414, 10.6084/m9.figshare.25229528",TRUE,10.1101/2023.11.15.567317,17,11,2023,http://biorxiv.org/lookup/doi/10.1101/2023.11.15.567317,bioRxiv,"DA,Method,Supplementary",TRUE,TRUE,Online,No,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,2024 Q2,PLOS,NA,sydney_collins_memorialuniversityofnewfoundland,middle,TRUE,2024,,NA,NA,NA,NA,NA,NA,NA
18,9,2025,10.1371/journal.pone.0332899,Medicine,Epidemiology,Canada,Canada,Method,TRUE,FALSE,NA,"Data cannot be shared publicly because this is a very small sample size and the content of the study relates to illegal activities. Further, datasets cannot be shared to honour what participants consented to regarding their data, especially in the context of confidentiality and legality concerns. Access to participant data carries a high risk of identity exposure and related consequences (e.g., being charged with crimes, loss of employment, academic repercussions, stigma). Restricting data access in this manner aligns with Section B of the Canadian Panel on Research Ethics Tri-Council Policy Statement (2022). Data are available from the University of British Columbia’s Office of the Chief Information Officer (contact via ubc.cio@ubc.ca or visit the webpage to submit a data request form) for researchers who meet the criteria for access to confidential data.",NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,No,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,2025 Q3,PLOS,NA,lauren_airth_universityofvictoria,first,TRUE,2025,,NA,NA,NA,NA,NA,NA,NA
31,3,2021,10.1371/journal.pone.0248336,Psychology,Clinical Psychology,Canada,Canada,Method,TRUE,TRUE,Supplementary Information,All relevant data are within the paper and its Supporting information files.,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,No,NA,NA,NA,NA,NA,TRUE,PROSPERO,1,"CRD4202017813,CRD42020178131",2,abstract;methods,text,2021 Q1,PLOS,NA,melissa_perri_stmichaelshospital,middle,FALSE,2021,,NA,NA,NA,NA,NA,NA,NA
29,10,2020,10.2196/20510,Medicine,"Public Health, Environmental and Occupational Health",Canada,Canada,Method,TRUE,FALSE,NA,"data collection after obtaining written consent, all participants completed a demographic questionnaire ( multimedia appendix 1 ). a review of the electronic medical charts of patient participants was performed to facilitate the identification of details that were not readily available outside of a thorough interview in the style of detailed medical and treatment history. the data from the chart review and questionnaires were compiled into a database to assist with theoretical sampling, an iterative sampling technique to ensure theoretical coverage and heterogeneity [ 23 , 24 ]. for instance, patients were initially interviewed as they were recruited, resulting in a predominance of patients >50 years of age with breast and colorectal cancer being interviewed. therefore, the database was used to identify and select participants for interviews who were primarily younger patients with less common malignancies. this was important to ensure that the emerging concepts were adequately informed by data from individuals likely to have had contrasting experiences. all interviews were semistructured ( multimedia appendix 2 ), face to face, and audio recorded. the interviews were carried out in participants� homes, apart from 3 interviews conducted over the phone. interviewees were encouraged to stop the interview at any point if they were no longer comfortable proceeding or needed a break; in addition, they were provided with contact information for psychosocial support available through the cancer center. the interviews with participants took place separately, except for 7 interviews where the patients and their friends and family wanted to be interviewed together. participants were interviewed once; no repeat interviews were conducted. the audio recordings from the interviews were transcribed by a professional transcriptionist as soon as possible after each interview to facilitate ongoing and iterative data analysis. the average interview length was 53 min overall, 1 hour and 4 min for interviews involving patients, and 36 min for interviews with only friends and family participants. participants who participated in interviews were offered a 24-hour parking pass to the cancer center.",NA,NA,NA,NA,TRUE,10.2196/preprints.20510,1,6,2020,http://preprints.jmir.org/preprint/20510,Journal of Medical Internet Research,NA,FALSE,FALSE,NA,No,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,2020 Q4,Comparator,"Access to Information', 'Grounded Theory', 'Neoplasms', 'Quality of Life'",maclean_thiessen_universityofmanitoba,first,TRUE,2020,,NA,NA,NA,NA,NA,NA,NA
21,2,2018,10.1371/journal.pone.0192125,Medicine,Epidemiology,Canada,Canada,Method,TRUE,FALSE,NA,All relevant data are withing the paper and its Supporting Information files.,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,No,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,2018 Q1,PLOS,NA,shree_bhalerao_stmichaelshospital,middle,TRUE,2018,,NA,NA,NA,NA,NA,NA,NA
29,1,2025,10.1186/s40168-024-02007-4,Immunology and Microbiology,Microbiology,Canada,Canada,Method,TRUE,TRUE,Online,data availability sequence data for this study can be accessed at sra project number prjna738496. details for the bioinformatics analyses can be found at  https://github.com/araclab/mb_analysis . please contact author for additional requests.,prjna738496,https://github.com/araclab/mb_analysis,"NCBI Bioproject, Github",NA,FALSE,NA,NA,NA,NA,NA,NA,Method,TRUE,FALSE,NA,Yes,1,Journal,Nature Protocols,10.1038/nprot.2016.091,FALSE,FALSE,NA,NA,NA,NA,NA,NA,2025 Q1,Comparator,NA,james_nnamutete_rakaihealthsciencesprogram,middle,FALSE,2025,,NA,NA,NA,NA,NA,NA,NA
2,1,2019,10.1371/journal.pone.0209278,Medicine,"Pediatrics, Perinatology and Child Health",Canada,Canada,Method,TRUE,FALSE,NA,All relevant data are within the paper and its Supporting Information files.,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,No,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,2019 Q1,PLOS,NA,alain_mayhew_bruyere,middle,FALSE,2019,,NA,NA,NA,NA,NA,NA,NA
16,8,2023,10.1371/journal.pone.0290070,Agricultural and Biological Sciences,Plant Science,Canada,Canada,Method,TRUE,TRUE,Online,The relevant data are available from University of British Columbia Research Data Collection at DOI: 10.5683/SP3/NX3LZ9 (https://doi.org/10.5683/SP3/NX3LZ9).,NA,https://doi.org/10.5683/SP3/NX3LZ9,Borealis,10.5683/SP3/NX3LZ9,FALSE,NA,NA,NA,NA,NA,NA,Method,TRUE,FALSE,NA,No,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,2023 Q3,PLOS,NA,katelyn_mills_universityofbritishcolumbia,middle,TRUE,2023,,NA,NA,NA,NA,NA,NA,NA
19,1,2024,10.1371/journal.pone.0296627,Medicine,Infectious Diseases,Canada,Canada,Method,TRUE,TRUE,Online,All relevant data are within the manuscript and its Supporting Information files located on GitHub (https://github.com/bioinfoUQAM/Kevolve).,NA,https://github.com/bioinfoUQAM/Kevolve,Github,NA,TRUE,10.1101/2022.02.07.479343,7,2,2022,http://biorxiv.org/lookup/doi/10.1101/2022.02.07.479343,bioRxiv,Method,TRUE,TRUE,Online,No,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,2024 Q1,PLOS,NA,hugo_soudeyns_centrehospitalieruniversitairesaintejustine,middle,TRUE,2024,,NA,NA,NA,NA,NA,NA,NA
13,6,2018,10.1371/journal.pone.0197689,Environmental Science,Global and Planetary Change,Canada,Canada,Method,TRUE,TRUE,Online,"The raw data were collected as part of a survey involving human beings, and its use is restricted by the data use policies of the Institutional Ethics Committee on Research with Human Beings of the University of Québec à Montreal. The processed data files that have been used for this study, and which do not allow individual identification of the participants, are available from the Figshare repository (https://doi.org/10.6084/m9.figshare.6260444.v2).",NA,https://doi.org/10.6084/m9.figshare.6260444.v2,figshare,10.6084/m9.figshare.6260444.v2,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,No,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,2018 Q2,PLOS,NA,aitor_ameztegui_universiteduquebecamontreal,first,TRUE,2018,,NA,NA,NA,NA,NA,NA,NA
27,12,2018,10.1371/journal.pone.0209802,Nursing,Nutrition and Dietetics,Canada,Canada,Method,TRUE,TRUE,Online,The data underlying this study have been uploaded to Harvard Dataverse and are accessible using the following doi: 10.7910/DVN/UMWTSE.,NA,NA,Harvard Dataverse,10.7910/DVN/UMWTSE,FALSE,NA,NA,NA,NA,NA,NA,Method,TRUE,FALSE,NA,No,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,2018 Q4,PLOS,NA,evan_langille_bishopsuniversity,first,TRUE,2018,,NA,NA,NA,NA,NA,NA,NA
15,2,2019,10.1038/s41467-019-08548-9,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Canada,Spain,Method,TRUE,TRUE,"Online,Supplementary Information",data availability the rna-seq data from this study has been deposited in ncbi sequence read archive (sra) database with accession number srp150400.,srp150400,NA,NCBI Sequence Read Archive,NA,FALSE,NA,NA,NA,NA,NA,NA,"Method,Fulltext",TRUE,FALSE,NA,Yes,2,Journal,Journal of Visualized Experiments,"10.3791/2610,10.3791/50074","False,False",FALSE,NA,NA,NA,NA,NA,NA,2019 Q1,Comparator,"Genes, Recessive', 'Genetic Predisposition to Disease', 'Muscle, Skeletal', 'Mutation', 'RNA-Binding Proteins', 'Ryanodine Receptor Calcium Release Channel'",maria_estan_institutodeinvestigaciondeenfermedadesraras,first,FALSE,2019,,NA,NA,NA,NA,NA,NA,NA
2,1,2024,10.1371/journal.pone.0295989,Environmental Science,Ecology,Canada,Canada,Method,TRUE,TRUE,Online,The code and raw data used to complete this work have been made available at the following repository: https://github.com/sageraymond/BlackBearAversiveConditioning.,NA,https://github.com/sageraymond/BlackBearAversiveConditioning,Github,NA,FALSE,NA,NA,NA,NA,NA,NA,"DA,Method",TRUE,TRUE,Online,No,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,2024 Q1,PLOS,NA,claire_edwards_jaspernationalpark,middle,FALSE,2024,,NA,NA,NA,NA,NA,NA,NA
6,1,2021,10.1371/journal.pone.0244778,Medicine,Infectious Diseases,Canada,Canada,Method,TRUE,TRUE,Supplementary Information,All relevant data are within the manuscript and its Supporting Information files.,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,No,NA,NA,NA,NA,NA,TRUE,CT.gov,1,"NCT04304053,NCT04308668,NCT04328467,NCT04329923",4,methods,text,2021 Q1,PLOS,NA,fayez_alshamsi_unitedarabemiratesuniversity,middle,FALSE,2021,,NA,NA,NA,NA,NA,NA,NA
28,11,2018,10.1186/s12875-018-0862-y,Psychology,Social Psychology,Canada,Canada,Method,TRUE,TRUE,"Online,Supplementary Information",availability of data and materials the data are archived on the university of calgary web server at:   http://people.ucalgary.ca/~patten/datasets/deidentified_dataset.dta   the data can be accessed from within stata using the following command: use  http://people.ucalgary.ca/~patten/datasets/deidentified_dataset.dta (see additional�file� 2 ),NA,http://people.ucalgary.ca/~patten/datasets/deidentified_dataset.dta,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,No,NA,NA,NA,NA,NA,TRUE,CT.gov,1,NCT01975948,3,abstract;ethics_state;methods,text,2018 Q4,Comparator,"Antidepressive Agents', 'Cognitive Behavioral Therapy', 'Depression', 'Family Practice', 'Mental Health', 'Physician-Patient Relations'",stephanie_knaak_universityofcalgary,middle,FALSE,2018,,NA,NA,NA,NA,NA,NA,NA
25,4,2022,10.1371/journal.pone.0266553,Neuroscience,Cognitive Neuroscience,Canada,Canada,Method,TRUE,TRUE,"Online,Supplementary Information",Data are available through the Université de Montréal - Dataverse website (doi: 10.5683/SP3/Q8RJCL).,NA,NA,Borealis,10.5683/SP3/Q8RJCL,FALSE,NA,NA,NA,NA,NA,NA,Method,TRUE,FALSE,NA,No,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,2022 Q2,PLOS,NA,christine_gagnon_universitedemontreal,middle,FALSE,2022,,NA,NA,NA,NA,NA,NA,NA
28,4,2023,10.1371/journal.pone.0277065,Medicine,Oncology,Canada,Canada,Method,TRUE,TRUE,Online,"The data is not publicly available and access is limited to the Institute for Clinical Evaluative Sciences (ICES) (https://www.ices.on.ca/), which is a prescribed entity under section 45 of Ontario’s Personal Health Information Protection Act (PHIPA). Researchers, students, policy makers or knowledge users who are affiliated with a publicly funded, not-for-profit organization and who want to obtain and analyze ICES data to answer a research question may submit a request to ICES DAS (https://www.ices.on.ca/DAS/Public-Sector; das@ices.on.ca). DAS staff will contact the requestor to discuss the project’s feasibility, timeline and cost. Projects requesting access to data require the approval of a research ethics board. Our team is able to provide our detailed analysis plan and specific codes used in the study upon request. A list of all datasets used is available in the Supporting file.",NA,"https://www.ices.on.ca/, https://www.ices.on.ca/DAS/Public-Sector",Institute for Clinical Evaluative Sciences (ICES),NA,TRUE,10.1101/2022.10.20.22281298,21,10,2022,http://medrxiv.org/lookup/doi/10.1101/2022.10.20.22281298,medRxiv,"DA,Method",TRUE,TRUE,Online,No,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,2023 Q2,PLOS,NA,janette_brual_universityoftoronto,middle,TRUE,2023,,NA,NA,NA,NA,NA,NA,NA
26,2,2021,10.1371/journal.pone.0246999,Medicine,Infectious Diseases,Canada,Canada,Method,TRUE,FALSE,NA,All relevant data are presented within the paper and are fully sufficient to replicate the study findings.,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,NA,No,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,2021 Q1,PLOS,NA,geoff_bardwell_britishcolumbiacentreonsubstanceuse,middle,FALSE,2021,,NA,NA,NA,NA,NA,NA,NA
12,9,2019,10.1371/journal.pone.0222276,Neuroscience,Cognitive Neuroscience,Canada,Canada,Method,TRUE,TRUE,Online,The specific wording of our mind wandering probes and all of our quiz questions are available in the Supporting Information file. EEG and behavioural data is available in a public repository at https://doi.org/10.17605/osf.io/ywztx.,NA,https://doi.org/10.17605/osf.io/ywztx,Open Science Framework,10.17605/osf.io/ywztx,FALSE,NA,NA,NA,NA,NA,NA,Method,TRUE,FALSE,NA,No,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,2019 Q3,PLOS,NA,ranil_sonnadara_universityoftoronto,last,TRUE,2019,,NA,NA,NA,NA,NA,NA,NA
14,7,2022,10.1371/journal.pone.0270590,Medicine,Emergency Medicine,Canada,Canada,Method,TRUE,TRUE,Supplementary Information,All relevant data are within the paper and its Supporting information files.,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,"Method,Supplementary",TRUE,FALSE,NA,Yes,5,Supplementary Information,Supplemental,"10.1371/journal.pone.0270590.s002,10.1371/journal.pone.0270590.s003,10.1371/journal.pone.0270590.s004,10.1371/journal.pone.0270590.s008,10.1371/journal.pone.0270590.s009","True,True,True,True,True",TRUE,CT.gov,1,NCT00798772,1,abstract,text,2022 Q3,PLOS,NA,joel_singer_hivlegalnetwork,middle,FALSE,2022,,NA,NA,NA,NA,NA,NA,NA
